nombre ; descripción ; tipo
Espada Corta;  Una espada corta que todo aventurero usa al principio de su aventura.; [Arma]
Armadura de Cuero;  Hecha de piel, de animal esta armadura es perfecta para los principiantes.; [Armadura]
Carnet de novato;  Tener este carnet significa el inicio de tus aventuras por este mundo!; [Coleccionable]
Libro 1: El amanecer;  Un libro viejo, tiene una cubierta ya descolorida por el paso de los años, páginas amarillentas y lo que se cree que fue un recubrimiento de oro. Habla sobre como fue originada la vida.; [Libro]
Son hermanos!;  Fue dicho por conveniencia, pero quedó tan épico que nadie lo cuestiona.; [Coleccionable]
Armadura de Astros Celestes;  Una armadura celestial tejida con la mismísima energía de las estrellas más azuladas. Se dice que llevarla te augura un futuro brillante.; [Armadura]
Brazomizador;  Un brazo de metal, el cual dispara agua. Útil en días calurosos de verano, o si te molesta mucho el compañero de clase con su ordenador.; [Arma]
Libro 8: Resurrección;  Como cualquier leyenda cíclica los seres humanos volvieron a poblar el planeta. Este libro es Azul, al leerlo se puede sentir que la historia no acabará bien.; [Libro]
Tabla de Elementos Alquímicos;  Escrita a mano por Sebastian Kirisame, te permite desde ligar con dioses hasta salvar el mundo. Es un set con dados, dependiendo de cual toque, tú destino será sellado.; [Coleccionable]
Armadura de Circonio;  Una armadura legendaria que se dice que perteneció a un antiguo héroe.; [Armadura]
Libro 2: La primera caída;  Otro libro viejo, este tiene un lomo verde con adornos y acabado en plata, sus páginas amarillentas aún son legibles, pero ten cuidado! Quizás esta historia no sea tan agradable como la anterior.; [Libro]
Balas GDR;  Sientes que puedes controlar la gravedad a tu voluntad, se llaman Gravity Dimension Shoot. ¿Es eso algo bueno?; [Coleccionable]
Armadura Maldita del Guerrero Fantasma;  Rápido como un rayo, fuerte como un tornado, pero tras cada batalla una parte de tu alma será comida por la armadura.; [Armadura]
Guanteletes de Leyenda;  Estos nudillos ganaron al mismísimo rey de los tramposos en un duelo de trampas.; [Arma]
RoddyLibro;  Cuenta la historia del bot, solo apto para guerreros expertos.; [Libro]
Libro 3: Lux et noctis;  Un libro de tapa dura que tiene un acabado dorado y un estampado de estrellas, contiene una duda filosófica.; [Libro]
Sombrero púrpura;  Un sombrero perteneciente a una maga que ganó el derecho de volver a la vida, pero el costo de eso fue algo que quizás no hubiera pagado de haberlo sabido. [desbloquea Libro de Yan #2 y #3]; [Coleccionable]
Libro de Yan #2;  Contiene una carta escrita hace mucho por alguien que ya no existe, en esta parte se hablan de sus sueños y anhelos.; [Libro]
Libro de Yan #3;  Contiene una carta escrita hace mucho por alguien que ya no existe, es la última parte, contiene un texto dedicado a alguien que quiso con todo su corazón.; [Libro]
Armadura Solar;  Perteneció a Roddy Taijang, esta armadura se dice que fue capaz de parar un ataque del mismísimo Sanboroppo.; [Armadura]
Giroesfera Estrellada;  Un arma sin sentido, usarla vuelve loco a cualquiera. Pero tiene un bonito patrón de estrellas. :D; [Arma]
Libro 7: La segunda caída;  Un libro verde oscuro, durante mucho tiempo ha sido prohibido. Relata la segunda extinción de la raza humana.; [Libro]
Decálogo del kamiista;  Sientes que si no cumples todos estos mandamientos irás al Kamiinfierno! D:; [Coleccionable]
Armadura del Gran Héroe;  Una Armadura portada por el héroe que murió salvando su pueblo. Gracias por tu gran esfuerzo Tanozhe.; [Armadura]
Lanza del Guiverno Infernal;  Forjada con el aliento flamígero del guiverno que guarda las puertas del  inframundo, esta lanza otorga a su portador el poder del mismísimo Archidemonio Wyllow.; [Arma]
Armadura del Eclipse;  Perteneciente a Raisha, contiene lo mejor de la ropa de mago, con una armadura de leyenda.; [Armadura]
Libro 6: Días de gloria;  Un libro escrito con una tinta especial. Relata el gran resurgir del ser Humano.; [Libro]
Cejas Supremas;  Sientes que eres un bengalí de corazón puro, ahora con un solo movimiento de cejas tod@s caerán a tus pies.; [Coleccionable]
Armadura del Mañana;  Armadura llevada por el primer Guerrero solar, se dice que el mero hecho de llevarla ya te hace ganar cualquier batalla; [Armadura]
Bebé Golem;  Fruto del amor prohibido entre un mago borracho y un Golem de piedra, busca a su papá.; [Coleccionable]
Libro 4: Nueva era de Oro;  Un libro rojo, de aspecto solemne, fue escrito por el escritor personal de un Rey que logró salvar el mundo.; [Libro]
Guantes de Kentaro;  Son los guantes con los que Kentaro Murata ganó el título de campeón mundial de boxeo.; [Coleccionable]
Espada Solar Luminaire;  Una espada mágica que cambia de forma.; [Arma]
Libro 5: Luz del alba;  Un libro con un estampado de estrellas. Relata la historia de un niño que fue capaz de ver que hay más allá del cielo.; [Libro]
Rubí maldito;  Aléjalo de Casimiro (Petrov)! D:; [Coleccionable]
